densenet121
PYTORCH_MODEL=False
BATCH_SIZE=16
EPOCHS=200
Adam params:
LEARNING_RATE=0.0001
WEIGHT_DECAY=0
BETAS=(0.9, 0.999)
Epoch [122/200], Loss: 0.00762299
Epoch [123/200], Loss: 0.00206289
Epoch [124/200], Loss: 0.00499426
Epoch [125/200], Loss: 0.00307370
Epoch [126/200], Loss: 0.00367036
Epoch [127/200], Loss: 0.01264314
Epoch [128/200], Loss: 0.00191282
Epoch [129/200], Loss: 0.00903614
Epoch [130/200], Loss: 0.00469297
Epoch [131/200], Loss: 0.00366668
Epoch [132/200], Loss: 0.00118619
Epoch [133/200], Loss: 0.07497567
Epoch [134/200], Loss: 0.00544242
Epoch [135/200], Loss: 0.00157981
Epoch [136/200], Loss: 0.00719574
Epoch [137/200], Loss: 0.08639282
Epoch [138/200], Loss: 0.00214654
Epoch [139/200], Loss: 0.00125495
Epoch [140/200], Loss: 0.00300728
Epoch [141/200], Loss: 0.00222489
Epoch [142/200], Loss: 0.00085274
Epoch [143/200], Loss: 0.00596663
Epoch [144/200], Loss: 0.00085508
Epoch [145/200], Loss: 0.00414993
Epoch [146/200], Loss: 0.01528256
Epoch [147/200], Loss: 0.00077073
Epoch [148/200], Loss: 0.00078031
Epoch [149/200], Loss: 0.00103187
Epoch [150/200], Loss: 0.01631644
Epoch [151/200], Loss: 0.00063681
Epoch [152/200], Loss: 0.00225461
Epoch [153/200], Loss: 0.00037747
Epoch [154/200], Loss: 0.00386108
Epoch [155/200], Loss: 0.00611462
Epoch [156/200], Loss: 0.00054825
Epoch [157/200], Loss: 0.00239633
Epoch [158/200], Loss: 0.00064416
Epoch [159/200], Loss: 0.00051749
Epoch [160/200], Loss: 0.00083893
Epoch [161/200], Loss: 0.00034077
Epoch [162/200], Loss: 0.00043961
Epoch [163/200], Loss: 0.00041464
Epoch [164/200], Loss: 0.00065708
Epoch [165/200], Loss: 0.00063936
Epoch [166/200], Loss: 0.00043928
Epoch [167/200], Loss: 0.00259021
Epoch [168/200], Loss: 0.00120910
Epoch [169/200], Loss: 0.00044336
Epoch [170/200], Loss: 0.00347860
Epoch [171/200], Loss: 0.04053375
Epoch [172/200], Loss: 0.00041728
Epoch [173/200], Loss: 0.00110397
Epoch [174/200], Loss: 0.00052350
Epoch [175/200], Loss: 0.00360670
Epoch [176/200], Loss: 0.02249928
Epoch [177/200], Loss: 0.01216473
Epoch [178/200], Loss: 0.00672117
Epoch [179/200], Loss: 0.00977917
Epoch [180/200], Loss: 0.01003118
Epoch [181/200], Loss: 0.00271059
Epoch [182/200], Loss: 0.01193321
Epoch [183/200], Loss: 0.00076648
Epoch [184/200], Loss: 0.00119354
Epoch [185/200], Loss: 0.00391343
Epoch [186/200], Loss: 0.00250659
Epoch [187/200], Loss: 0.02343974
Epoch [188/200], Loss: 0.00797405
Epoch [189/200], Loss: 0.00751314
Epoch [190/200], Loss: 0.01315873
Epoch [191/200], Loss: 0.00219417
Epoch [192/200], Loss: 0.00048988
Epoch [193/200], Loss: 0.00410462
Epoch [194/200], Loss: 0.00043932
Epoch [195/200], Loss: 0.00310089
Epoch [196/200], Loss: 0.00707177
Epoch [197/200], Loss: 0.00395024
Epoch [198/200], Loss: 0.00264803
Epoch [199/200], Loss: 0.00038419
Epoch [200/200], Loss: 0.00024853
best loss:0.00024852738715708256 at epoch 200
Accuracy=79.3103448275862% on dataset_custom/test
Accuracy=100.0% on dataset_custom2/test
