densenet121
PYTORCH_MODEL=True
BATCH_SIZE=16
EPOCHS=200
Adam params:
LEARNING_RATE=0.0001
WEIGHT_DECAY=0
BETAS=(0.9, 0.999)
Epoch [44/200.0], Loss: 0.0207
Epoch [45/200.0], Loss: 0.0119
Epoch [46/200.0], Loss: 0.0226
Epoch [47/200.0], Loss: 0.0540
Epoch [48/200.0], Loss: 0.0134
Epoch [49/200.0], Loss: 0.0764
Epoch [50/200.0], Loss: 0.0098
Epoch [51/200.0], Loss: 0.0628
Epoch [52/200.0], Loss: 0.0098
Epoch [53/200.0], Loss: 0.0072
Epoch [54/200.0], Loss: 0.0129
Epoch [55/200.0], Loss: 0.0097
Epoch [56/200.0], Loss: 0.0053
Epoch [57/200.0], Loss: 0.0188
Epoch [58/200.0], Loss: 0.0070
Epoch [59/200.0], Loss: 0.0654
Epoch [60/200.0], Loss: 0.0096
Epoch [61/200.0], Loss: 0.0088
Epoch [62/200.0], Loss: 0.0091
Epoch [63/200.0], Loss: 0.0077
Epoch [64/200.0], Loss: 0.0285
Epoch [65/200.0], Loss: 0.0054
Epoch [66/200.0], Loss: 0.0224
Epoch [67/200.0], Loss: 0.0057
Epoch [68/200.0], Loss: 0.0261
Epoch [69/200.0], Loss: 0.0823
Epoch [70/200.0], Loss: 0.0068
Epoch [71/200.0], Loss: 0.0120
Epoch [72/200.0], Loss: 0.0103
Epoch [73/200.0], Loss: 0.0057
Epoch [74/200.0], Loss: 0.0042
Epoch [75/200.0], Loss: 0.0312
Epoch [76/200.0], Loss: 0.0160
Epoch [77/200.0], Loss: 0.0277
Epoch [78/200.0], Loss: 0.0040
Epoch [79/200.0], Loss: 0.0066
Epoch [80/200.0], Loss: 0.0056
Epoch [81/200.0], Loss: 0.0081
Epoch [82/200.0], Loss: 0.0063
Epoch [83/200.0], Loss: 0.0048
Epoch [84/200.0], Loss: 0.0141
Epoch [85/200.0], Loss: 0.0238
Epoch [86/200.0], Loss: 0.0062
Epoch [87/200.0], Loss: 0.0060
Epoch [88/200.0], Loss: 0.0069
Epoch [89/200.0], Loss: 0.0055
Epoch [90/200.0], Loss: 0.0087
Epoch [91/200.0], Loss: 0.0082
Epoch [92/200.0], Loss: 0.0025
Epoch [93/200.0], Loss: 0.0031
Epoch [94/200.0], Loss: 0.0021
Epoch [95/200.0], Loss: 0.0088
Epoch [96/200.0], Loss: 0.0097
Epoch [97/200.0], Loss: 0.0050
Epoch [98/200.0], Loss: 0.0082
Epoch [99/200.0], Loss: 0.0019
Epoch [100/200.0], Loss: 0.0021
Epoch [101/200.0], Loss: 0.0112
Epoch [102/200.0], Loss: 0.0330
Epoch [103/200.0], Loss: 0.0054
Epoch [104/200.0], Loss: 0.0017
Epoch [105/200.0], Loss: 0.0063
Epoch [106/200.0], Loss: 0.0016
Epoch [107/200.0], Loss: 0.0019
Epoch [108/200.0], Loss: 0.0070
Epoch [109/200.0], Loss: 0.0013
Epoch [110/200.0], Loss: 0.0045
Epoch [111/200.0], Loss: 0.0018
Epoch [112/200.0], Loss: 0.0014
Epoch [113/200.0], Loss: 0.0031
Epoch [114/200.0], Loss: 0.0018
Epoch [115/200.0], Loss: 0.0025
Epoch [116/200.0], Loss: 0.0027
Epoch [117/200.0], Loss: 0.0042
Epoch [118/200.0], Loss: 0.0018
Epoch [119/200.0], Loss: 0.0125
Epoch [120/200.0], Loss: 0.0014
Epoch [121/200.0], Loss: 0.0013
Epoch [122/200.0], Loss: 0.0010
Epoch [123/200.0], Loss: 0.0033
Epoch [124/200.0], Loss: 0.0296
Epoch [125/200.0], Loss: 0.0088
Epoch [126/200.0], Loss: 0.0028
Epoch [127/200.0], Loss: 0.0177
Epoch [128/200.0], Loss: 0.0130
Epoch [129/200.0], Loss: 0.0058
Epoch [130/200.0], Loss: 0.0043
Epoch [131/200.0], Loss: 0.0059
Epoch [132/200.0], Loss: 0.0016
Epoch [133/200.0], Loss: 0.0008
Epoch [134/200.0], Loss: 0.0263
Epoch [135/200.0], Loss: 0.0192
Epoch [136/200.0], Loss: 0.0010
Epoch [137/200.0], Loss: 0.0073
Epoch [138/200.0], Loss: 0.0007
Epoch [139/200.0], Loss: 0.0025
Epoch [140/200.0], Loss: 0.0019
Epoch [141/200.0], Loss: 0.0053
Epoch [142/200.0], Loss: 0.0018
Epoch [143/200.0], Loss: 0.0010
Epoch [144/200.0], Loss: 0.0027
Epoch [145/200.0], Loss: 0.0020
Epoch [146/200.0], Loss: 0.0126
Epoch [147/200.0], Loss: 0.0038
Epoch [148/200.0], Loss: 0.0023
Epoch [149/200.0], Loss: 0.0113
Epoch [150/200.0], Loss: 0.0039
Epoch [151/200.0], Loss: 0.0010
Epoch [152/200.0], Loss: 0.0025
Epoch [153/200.0], Loss: 0.0013
Epoch [154/200.0], Loss: 0.0039
Epoch [155/200.0], Loss: 0.0040
Epoch [156/200.0], Loss: 0.0024
Epoch [157/200.0], Loss: 0.0034
Epoch [158/200.0], Loss: 0.0013
Epoch [159/200.0], Loss: 0.0127
Epoch [160/200.0], Loss: 0.0008
Epoch [161/200.0], Loss: 0.0023
Epoch [162/200.0], Loss: 0.0130
Epoch [163/200.0], Loss: 0.0019
Epoch [164/200.0], Loss: 0.0027
Epoch [165/200.0], Loss: 0.0016
Epoch [166/200.0], Loss: 0.0042
Epoch [167/200.0], Loss: 0.0007
Epoch [168/200.0], Loss: 0.0229
Epoch [169/200.0], Loss: 0.0040
Epoch [170/200.0], Loss: 0.0006
Epoch [171/200.0], Loss: 0.0006
Epoch [172/200.0], Loss: 0.0039
Epoch [173/200.0], Loss: 0.0006
Epoch [174/200.0], Loss: 0.0007
Epoch [175/200.0], Loss: 0.0008
Epoch [176/200.0], Loss: 0.0016
Epoch [177/200.0], Loss: 0.0007
Epoch [178/200.0], Loss: 0.0006
Epoch [179/200.0], Loss: 0.0004
Epoch [180/200.0], Loss: 0.0003
Epoch [181/200.0], Loss: 0.0017
Epoch [182/200.0], Loss: 0.0014
Epoch [183/200.0], Loss: 0.0216
Epoch [184/200.0], Loss: 0.0064
Epoch [185/200.0], Loss: 0.0218
Epoch [186/200.0], Loss: 0.2189
Epoch [187/200.0], Loss: 0.0179
Epoch [188/200.0], Loss: 0.1771
Epoch [189/200.0], Loss: 0.0264
Epoch [190/200.0], Loss: 0.0219
Epoch [191/200.0], Loss: 0.0665
Epoch [192/200.0], Loss: 0.0026
Epoch [193/200.0], Loss: 0.0195
Epoch [194/200.0], Loss: 0.0165
Epoch [195/200.0], Loss: 0.0022
Epoch [196/200.0], Loss: 0.0011
Epoch [197/200.0], Loss: 0.0095
Epoch [198/200.0], Loss: 0.0043
Epoch [199/200.0], Loss: 0.0017
Epoch [200/200.0], Loss: 0.0011
Accuracy=100.0%
